Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
98,98 - SAHEBGANJ,1,PRITHWINATH RAY,Rashtriya Janata Dal,92473,327,92800,42.27
98,98 - SAHEBGANJ,2,BINDA MAHATO,Bahujan Samaj Party,2533,8,2541,1.16
98,98 - SAHEBGANJ,3,RAJU KUMAR SINGH,Bharatiya Janata Party,106077,245,106322,48.43
98,98 - SAHEBGANJ,4,THAKUR HARI KISHORE SINGH,Jan Suraaj Party,4179,18,4197,1.91
98,98 - SAHEBGANJ,5,SUKHARI DAS,Socialist Unity Centre Of India (COMMUNIST),419,1,420,0.19
98,98 - SAHEBGANJ,6,JAI PRAKASH KUMAR,Independent,183,0,183,0.08
98,98 - SAHEBGANJ,7,MUKESH KUMAR SINGH,Independent,844,5,849,0.39
98,98 - SAHEBGANJ,8,MOTIUR RAHMAN,Independent,356,1,357,0.16
98,98 - SAHEBGANJ,9,YOGENDRA KUMAR YADAV,Independent,373,0,373,0.17
98,98 - SAHEBGANJ,10,RANJEET KUMAR,Independent,449,2,451,0.21
98,98 - SAHEBGANJ,11,RAJAN KUMAR,Independent,975,1,976,0.44
98,98 - SAHEBGANJ,12,VIKKY KUMAR,Independent,4187,0,4187,1.91
98,98 - SAHEBGANJ,13,SHAMBHU SAH,Independent,1158,0,1158,0.53
98,98 - SAHEBGANJ,14,NOTA,None of the Above,4731,5,4736,2.16
