Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
100,100 - BARAULI,1,DILIP KUMAR SINGH,Rashtriya Janata Dal,75917,366,76283,39.29
100,100 - BARAULI,2,MANJEET KUMAR SINGH,Janata Dal (United),88339,318,88657,45.66
100,100 - BARAULI,3,REYAZUL HAQUE URF RAJU,Bahujan Samaj Party,13335,62,13397,6.9
100,100 - BARAULI,4,FAIZ AHMAD,Jan Suraaj Party,2884,27,2911,1.5
100,100 - BARAULI,5,RUDAL MAHATO,Rashtriya Jansambhavna Party,571,3,574,0.3
100,100 - BARAULI,6,KRISHNA SHAH,Independent,649,1,650,0.33
100,100 - BARAULI,7,MANJU KUMARI,Independent,690,1,691,0.36
100,100 - BARAULI,8,SITA DEVI,Independent,2197,7,2204,1.14
100,100 - BARAULI,9,SONU KUMAR,Independent,4804,0,4804,2.47
100,100 - BARAULI,10,NOTA,None of the Above,4001,5,4006,2.06
