Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
104,104 - HATHUA,1,INDRAJIT GUPT JYOTISHKAR,Aam Aadmi Party,3114,3,3117,1.59
104,104 - HATHUA,2,RAJESH KUMAR SINGH,Rashtriya Janata Dal,79450,323,79773,40.69
104,104 - HATHUA,3,RAMSEWAK SINGH,Janata Dal (United),91842,279,92121,46.99
104,104 - HATHUA,4,SHABANM KHATUN,Bahujan Samaj Party,3776,13,3789,1.93
104,104 - HATHUA,5,KALINDRA KUMAR RAY,Rashtriya Sab Janshakti Party,760,1,761,0.39
104,104 - HATHUA,6,LAXMAN BHAR,Suheldev Bharatiya Samaj Party,1175,1,1176,0.6
104,104 - HATHUA,7,SANJAY KUMAR SUMAN,Jan Suraaj Party,5052,37,5089,2.6
104,104 - HATHUA,8,SURENDRA RAM,Bhartiya Rashtriya Dal,1043,1,1044,0.53
104,104 - HATHUA,9,NAURAJ SAH,Independent,3639,1,3640,1.86
104,104 - HATHUA,10,SURENDRA GUPTA,Independent,2452,2,2454,1.25
104,104 - HATHUA,11,NOTA,None of the Above,3092,2,3094,1.58
