Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
105,105 - SIWAN,1,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,82847,162,83009,43.56
105,105 - SIWAN,2,MANGAL PANDEY,Bharatiya Janata Party,92233,146,92379,48.47
105,105 - SIWAN,3,SUNITA DEVI,Bahujan Samaj Party,2174,9,2183,1.15
105,105 - SIWAN,4,INTEKHAB AHMAD,Jan Suraaj Party,2524,19,2543,1.33
105,105 - SIWAN,5,KUMAR GAURAW BUNTY,Rashtrawadi Janlok Party (Satya),240,0,240,0.13
105,105 - SIWAN,6,MOHAMMAD KAIFI SAMSHIR,All India Majlis-E-Ittehadul Muslimeen,3491,2,3493,1.83
105,105 - SIWAN,7,RAKESH SHARMA,Jagrook Janta Party,221,1,222,0.12
105,105 - SIWAN,8,MD ARIF,Independent,298,0,298,0.16
105,105 - SIWAN,9,DEWA KANT MISHRA ALIAS MUNNA BHAIYA,Independent,205,0,205,0.11
105,105 - SIWAN,10,VIMAL PRASAD,Independent,226,1,227,0.12
105,105 - SIWAN,11,SATYENDRA KUMAR KUSHWAHA,Independent,441,4,445,0.23
105,105 - SIWAN,12,SAROJ KUMARI,Independent,636,0,636,0.33
105,105 - SIWAN,13,SUSHIL KUMAR,Independent,1998,0,1998,1.05
105,105 - SIWAN,14,NOTA,None of the Above,2702,2,2704,1.42
