Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
106,106 - ZIRADEI,1,AMARJEET KUSHWAHA,Communist Party of India (Marxist-Leninist) (Liberation),63498,103,63601,40.27
106,106 - ZIRADEI,2,PRAMOD KUMAR MALL,Bahujan Samaj Party,5090,12,5102,3.23
106,106 - ZIRADEI,3,BHISM PRATAP SINGH,Janata Dal (United),66137,90,66227,41.94
106,106 - ZIRADEI,4,JAGLAL RAJBHAR,Suheldev Bharatiya Samaj Party,2386,4,2390,1.51
106,106 - ZIRADEI,5,PARMANAND PRASAD,Swatantra Samaj Party,807,0,807,0.51
106,106 - ZIRADEI,6,MUNNA PANDEY,Jan Suraaj Party,10090,35,10125,6.41
106,106 - ZIRADEI,7,AJAY KUMAR PRAJAPATI,Independent,783,0,783,0.5
106,106 - ZIRADEI,8,PRABUNATH THAKUR,Independent,1039,0,1039,0.66
106,106 - ZIRADEI,9,RAGHWENDRA KUMAR KHARWAR,Independent,2262,1,2263,1.43
106,106 - ZIRADEI,10,VIVEK SHUKLA,Independent,882,0,882,0.56
106,106 - ZIRADEI,11,NOTA,None of the Above,4704,3,4707,2.98
