Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
110,110 - BARHARIA,1,ARUN KUMAR GUPTA,Rashtriya Janata Dal,81340,124,81464,41.35
110,110 - BARHARIA,2,INDRADEV SINGH,Janata Dal (United),93481,119,93600,47.51
110,110 - BARHARIA,3,JITENDRA YADAV,Aam Aadmi Party,2170,5,2175,1.1
110,110 - BARHARIA,4,VIJAY KUMAR YADAW,Bahujan Samaj Party,1290,1,1291,0.66
110,110 - BARHARIA,5,RADHESHYAM SHARMA,Jagrook Janta Party,410,2,412,0.21
110,110 - BARHARIA,6,SHEKH SHAHNAWAZ ALAM,Jan Suraaj Party,3735,15,3750,1.9
110,110 - BARHARIA,7,DEEPAK KUMAR,Independent,383,1,384,0.19
110,110 - BARHARIA,8,RAMDAS TIWARI,Independent,918,0,918,0.47
110,110 - BARHARIA,9,RAHUL KUMAR,Independent,1148,0,1148,0.58
110,110 - BARHARIA,10,SHYAM BAHADUR SINGH,Independent,4678,14,4692,2.38
110,110 - BARHARIA,11,HARERAM SINGH,Independent,3229,0,3229,1.64
110,110 - BARHARIA,12,NOTA,None of the Above,3930,2,3932,2
