Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
111,111 - GORIAKOTHI,1,ANWARUL HAQUE,Rashtriya Janata Dal,93431,93,93524,43.84
111,111 - GORIAKOTHI,2,DEVESH KANT SINGH,Bharatiya Janata Party,105799,110,105909,49.64
111,111 - GORIAKOTHI,3,RAVI BHUSHAN GUPTA,Aam Aadmi Party,1378,1,1379,0.65
111,111 - GORIAKOTHI,4,UMASHANKAR TIWARI,Bhartiya Lok Chetna Party,313,0,313,0.15
111,111 - GORIAKOTHI,5,EJAZ AHMAD SIDDIQUE,Jan Suraaj Party,3262,19,3281,1.54
111,111 - GORIAKOTHI,6,TRIBHUWAN RAM,Peoples Party of India (Democratic),459,1,460,0.22
111,111 - GORIAKOTHI,7,DILIP MANJHI,Janshakti Vikas Party (Democratic),534,0,534,0.25
111,111 - GORIAKOTHI,8,DHRUVNATH SINGH,Rashtriya Jansambhavna Party,648,0,648,0.3
111,111 - GORIAKOTHI,9,RAMAYAN SINGH,All India Forward Bloc,843,2,845,0.4
111,111 - GORIAKOTHI,10,ASHOK KUMAR VARMA,Independent,2797,0,2797,1.31
111,111 - GORIAKOTHI,11,NOTA,None of the Above,3649,6,3655,1.71
