Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
112,112 - MAHARAJGANJ,1,RAVI RANJAN TISU,Bahujan Samaj Party,2174,2,2176,1.16
112,112 - MAHARAJGANJ,2,VISHAL KUMAR JAISWAL,Rashtriya Janata Dal,65604,110,65714,34.99
112,112 - MAHARAJGANJ,3,HEM NARAYAN SAH,Janata Dal (United),86674,139,86813,46.22
112,112 - MAHARAJGANJ,4,NAYAN PRASAD,Bharat Ka Kisan Majdoor Party,1658,1,1659,0.88
112,112 - MAHARAJGANJ,5,MADAN YADAV,Aazad Samaj Party (Kanshi Ram),2370,3,2373,1.26
112,112 - MAHARAJGANJ,6,DR. VIKAS KUMAR SINGH,Political Team India,2129,0,2129,1.13
112,112 - MAHARAJGANJ,7,SUNIL RAY,Jan Suraaj Party,8116,49,8165,4.35
112,112 - MAHARAJGANJ,8,ANGAD KUMAR,Independent,706,0,706,0.38
112,112 - MAHARAJGANJ,9,ASHISH RANJAN SINGH,Independent,885,1,886,0.47
112,112 - MAHARAJGANJ,10,NITISH KUMAR DIWEDI,Independent,6242,12,6254,3.33
112,112 - MAHARAJGANJ,11,RAVINDRA KUMAR,Independent,4358,0,4358,2.32
112,112 - MAHARAJGANJ,12,RAJ KISHOR GUPTA,Independent,2902,0,2902,1.55
112,112 - MAHARAJGANJ,13,NOTA,None of the Above,3674,1,3675,1.96
