Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
113,113 - EKMA,1,MANORANJAN SINGH,Janata Dal (United),83844,233,84077,49.16
113,113 - EKMA,2,LAKSHMAN MANJHI,Bahujan Samaj Party,2977,15,2992,1.75
113,113 - EKMA,3,SRIKANT YADAV,Rashtriya Janata Dal,61161,208,61369,35.88
113,113 - EKMA,4,UMESH KUMAR RAJBHAR,Suheldev Bharatiya Samaj Party,1378,0,1378,0.81
113,113 - EKMA,5,JAWAHIR PRASAD,Apna Kisan Party,993,2,995,0.58
113,113 - EKMA,6,DEO KUMAR SINGH,Jan Suraaj Party,7583,59,7642,4.47
113,113 - EKMA,7,ABHIJEET ABHIGYAN,Independent,1049,7,1056,0.62
113,113 - EKMA,8,JITENDRA KUMAR KANNAUJ,Independent,1257,0,1257,0.73
113,113 - EKMA,9,RAKESH KUMAR SINGH,Independent,2460,0,2460,1.44
113,113 - EKMA,10,SHANKAR SHARMA,Independent,1600,0,1600,0.94
113,113 - EKMA,11,NOTA,None of the Above,6216,1,6217,3.63
