Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
114,114 - MANJHI,1,RANDHIR KUMAR SINGH,Janata Dal (United),68116,339,68455,38.53
114,114 - MANJHI,2,SANOTSH PRASAD,Bahujan Samaj Party,1995,17,2012,1.13
114,114 - MANJHI,3,DR. SATYENDRA YADAV,Communist Party of India (Marxist),58405,263,58668,33.02
114,114 - MANJHI,4,Y.V.GIRI,Jan Suraaj Party,9212,94,9306,5.24
114,114 - MANJHI,5,DHARMENDRA KUMAR SHARMA,Jagrook Janta Party,916,9,925,0.52
114,114 - MANJHI,6,NASIM AHAMAD,Aazad Samaj Party (Kanshi Ram),3385,15,3400,1.91
114,114 - MANJHI,7,PRATIBHA DEVI,Suheldev Bharatiya Samaj Party,1356,6,1362,0.77
114,114 - MANJHI,8,ASHOK SHARMA,Independent,694,3,697,0.39
114,114 - MANJHI,9,OM PRAKASH PRASAD,Independent,3079,8,3087,1.74
114,114 - MANJHI,10,RANA PRATAP SINGH,Independent,19061,78,19139,10.77
114,114 - MANJHI,11,SANJU YADAV,Independent,3104,3,3107,1.75
114,114 - MANJHI,12,SURESH KUMAR RAM,Independent,1403,2,1405,0.79
114,114 - MANJHI,13,NOTA,None of the Above,6106,7,6113,3.44
