Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
116,116 - TARAIYA,1,AMIT KUMAR SINGH,Aam Aadmi Party,1846,5,1851,0.96
116,116 - TARAIYA,2,JANAK SINGH,Bharatiya Janata Party,85401,163,85564,44.21
116,116 - TARAIYA,3,BRAJ BIHARI SINGH,Bahujan Samaj Party,1870,5,1875,0.97
116,116 - TARAIYA,4,SHAILENDRA PRATAP,Rashtriya Janata Dal,84070,165,84235,43.52
116,116 - TARAIYA,5,AHMAD HUSSAIN ANSARI,Peace Party,1016,2,1018,0.53
116,116 - TARAIYA,6,BHAGWAN PRASAD GUPTA,Vanchit Adhikar Party,976,2,978,0.51
116,116 - TARAIYA,7,RAM VISWAS RAI,Bhartiya Sarthak Party,296,3,299,0.15
116,116 - TARAIYA,8,VIVEK KUMAR,Janshakti Janta Dal,680,1,681,0.35
116,116 - TARAIYA,9,SANJAY KUMAR,Peoples Party of India (Democratic),879,0,879,0.45
116,116 - TARAIYA,10,SATYENDRA KU SAHNI,Jan Suraaj Party,5065,21,5086,2.63
116,116 - TARAIYA,11,MITHILESH KUMAR,Independent,2654,9,2663,1.38
116,116 - TARAIYA,12,MUMTAJ ANSARI,Independent,2746,2,2748,1.42
116,116 - TARAIYA,13,LALU PRASAD YADAV,Independent,1315,1,1316,0.68
116,116 - TARAIYA,14,VIJESH RAY,Independent,2621,0,2621,1.35
116,116 - TARAIYA,15,NOTA,None of the Above,1718,6,1724,0.89
