Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
117,117 - MARHAURA,1,JITENDRA KUMAR RAI,Rashtriya Janata Dal,85764,354,86118,47.97
117,117 - MARHAURA,2,NAVEEN KUMAR SINGH URAF ABHAY SINGH,Jan Suraaj Party,58016,174,58190,32.42
117,117 - MARHAURA,3,PURUSHOTTAM KUMAR,Rashtriya Sab Janshakti Party,2330,8,2338,1.3
117,117 - MARHAURA,4,MADHUBALA GIRI,The Plurals Party,1566,11,1577,0.88
117,117 - MARHAURA,5,LALU PRASAD YADAV,Rashtriya Jansambhavna Party,2816,4,2820,1.57
117,117 - MARHAURA,6,ANKIT KUMAR,Independent,17299,11,17310,9.64
117,117 - MARHAURA,7,ABHISHEK RANJAN,Independent,1505,1,1506,0.84
117,117 - MARHAURA,8,MANEGAR RAY,Independent,1357,0,1357,0.76
117,117 - MARHAURA,9,SANDEV KUMAR RAY,Independent,3483,0,3483,1.94
117,117 - MARHAURA,10,NOTA,None of the Above,4799,10,4809,2.68
