Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
118,118 - CHAPRA,1,CHHOTI KUMARI,Bharatiya Janata Party,86561,284,86845,45.86
118,118 - CHAPRA,2,SHATRUGHAN YADAV,Rashtriya Janata Dal,78897,348,79245,41.84
118,118 - CHAPRA,3,JAI PRAKASH SINGH,Jan Suraaj Party,3377,56,3433,1.81
118,118 - CHAPRA,4,GYANI KUMAR SHARMA,Bharatiya Ekta Dal,277,2,279,0.15
118,118 - CHAPRA,5,RAJESH KUSHWAHA,Bhartiya Lok Chetna Party,333,4,337,0.18
118,118 - CHAPRA,6,SHAK NAUSHAD,Aazad Samaj Party (Kanshi Ram),2081,12,2093,1.11
118,118 - CHAPRA,7,PADMA MISHRA,Independent,539,3,542,0.29
118,118 - CHAPRA,8,MD SULTAN HUSSEN IDRISHI,Independent,391,4,395,0.21
118,118 - CHAPRA,9,RAKHI GUPTA,Independent,11358,130,11488,6.07
118,118 - CHAPRA,10,RANA YASHWANT PRATAP SINGH,Independent,2024,2,2026,1.07
118,118 - CHAPRA,11,NOTA,None of the Above,2704,2,2706,1.43
