Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
119,119 - GARKHA,1,AVINASH KUMAR,Bahujan Samaj Party,3264,14,3278,1.61
119,119 - GARKHA,2,VIGAN MANJHI,Rashtriya Lok Janshakti Party,1650,10,1660,0.82
119,119 - GARKHA,3,SADAN KUMAR,Aam Aadmi Party,1006,4,1010,0.5
119,119 - GARKHA,4,SIMANT MRINAL,Lok Janshakti Party (Ram Vilas),78136,194,78330,38.49
119,119 - GARKHA,5,SURENDRA RAM,Rashtriya Janata Dal,90831,303,91134,44.78
119,119 - GARKHA,6,NAGENDRA RAM,Republican Party of India (A),1424,4,1428,0.7
119,119 - GARKHA,7,MANOHAR KUMAR RAM,Jan Suraaj Party,5255,59,5314,2.61
119,119 - GARKHA,8,NAND KISHOR MANJHI,Independent,805,1,806,0.4
119,119 - GARKHA,9,NEERAJ RAM,Independent,1284,3,1287,0.63
119,119 - GARKHA,10,MUNESHWAR CHAUDHARY,Independent,9392,61,9453,4.65
119,119 - GARKHA,11,RAGHUNANDAN MANJHI,Independent,2768,6,2774,1.36
119,119 - GARKHA,12,RAJKUMAR,Independent,2678,0,2678,1.32
119,119 - GARKHA,13,SABITA DEVI,Independent,1724,4,1728,0.85
119,119 - GARKHA,14,NOTA,None of the Above,2606,11,2617,1.29
