Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
120,120 - AMNOUR,1,KRISHAN KUMAR MANTOO,Bharatiya Janata Party,75298,227,75525,44.52
120,120 - AMNOUR,2,PUJA KUMARI,Bahujan Samaj Party,5675,20,5695,3.36
120,120 - AMNOUR,3,SUNIL KUMAR,Rashtriya Janata Dal,71475,242,71717,42.27
120,120 - AMNOUR,4,ALI ABBAS,Bharatiya Momin Front,1059,3,1062,0.63
120,120 - AMNOUR,5,KRISHNA MISHRA,The Plurals Party,300,1,301,0.18
120,120 - AMNOUR,6,JAY PRAKASH KUMAR SINGH,Socialist Party (India),403,2,405,0.24
120,120 - AMNOUR,7,RAKESH KUMAR,Bharatiya Ekta Dal,648,1,649,0.38
120,120 - AMNOUR,8,RAHUL KUMAR SINGH,Jan Suraaj Party,5981,50,6031,3.55
120,120 - AMNOUR,9,ARJUN KUMAR NIRALA,Independent,528,3,531,0.31
120,120 - AMNOUR,10,RAMLAL MANJHI,Independent,660,0,660,0.39
120,120 - AMNOUR,11,LAKSHMAN YADAV,Independent,2261,1,2262,1.33
120,120 - AMNOUR,12,SUJEET PRIYDARSHI,Independent,1073,1,1074,0.63
120,120 - AMNOUR,13,NOTA,None of the Above,3745,4,3749,2.21
