Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
121,121 - PARSA,1,KARISHMA,Rashtriya Janata Dal,88807,286,89093,49.16
121,121 - PARSA,2,CHHOTE LAL RAI,Janata Dal (United),63087,234,63321,34.94
121,121 - PARSA,3,PAWAN TIWARI,Aam Aadmi Party,1976,1,1977,1.09
121,121 - PARSA,4,MD SAMIM ANSARI,Bahujan Samaj Party,2520,20,2540,1.4
121,121 - PARSA,5,JAVAHIR SINGH,Insaniyat Party,1569,0,1569,0.87
121,121 - PARSA,6,BIPIN KR SINGH,Nationalist Congress Party,846,5,851,0.47
121,121 - PARSA,7,MADAN MOHAN SRIVASTAVA,"Proutist Bloc, India",924,0,924,0.51
121,121 - PARSA,8,MOSAHEB MAHTO,Jan Suraaj Party,10076,50,10126,5.59
121,121 - PARSA,9,SHYAM BABU RAY,Bhartiya Lok Chetna Party,593,1,594,0.33
121,121 - PARSA,10,MUNESHWAR PRASAD GUPTA,Independent,919,2,921,0.51
121,121 - PARSA,11,RAMAISHWAR PRASAD RAY,Independent,1430,1,1431,0.79
121,121 - PARSA,12,SHRINIWAS SAH,Independent,3208,3,3211,1.77
121,121 - PARSA,13,NOTA,None of the Above,4674,3,4677,2.58
