Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
123,123 - HAJIPUR,1,ABHISHEK KUMAR,Bahujan Samaj Party,1540,5,1545,0.69
123,123 - HAJIPUR,2,AWADHESH SINGH,Bharatiya Janata Party,112565,656,113221,50.27
123,123 - HAJIPUR,3,GHANSHYAM KUMAR DAHA,Rashtriya Lok Janshakti Party,1602,2,1604,0.71
123,123 - HAJIPUR,4,DEO KUMAR CHAURASIA,Rashtriya Janata Dal,93857,855,94712,42.05
123,123 - HAJIPUR,5,RAJ KUMAR PASWAN,Aam Aadmi Party,637,7,644,0.29
123,123 - HAJIPUR,6,INDRADEO ROY,Socialist Unity Centre Of India (COMMUNIST),254,0,254,0.11
123,123 - HAJIPUR,7,DHEERAJ KUMAR ROY,Yuva Devlop Party,419,5,424,0.19
123,123 - HAJIPUR,8,PRATIBHA SINHA,Jan Suraaj Party,4605,96,4701,2.09
123,123 - HAJIPUR,9,RAJ KUMAR SINGH,Bhartiya Lok Chetna Party,823,8,831,0.37
123,123 - HAJIPUR,10,NISHANT GANDHI,Independent,1836,15,1851,0.82
123,123 - HAJIPUR,11,RAMESH KUMAR SINGH,Independent,845,3,848,0.38
123,123 - HAJIPUR,12,SUNIL ROY,Independent,2225,1,2226,0.99
123,123 - HAJIPUR,13,NOTA,None of the Above,2370,11,2381,1.06
