Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
124,124 - LALGANJ,1,RAJENDRA PRASAD SINGH,Aam Aadmi Party,1675,4,1679,0.7
124,124 - LALGANJ,2,SHIVANI SHUKLA,Rashtriya Janata Dal,94807,676,95483,39.75
124,124 - LALGANJ,3,SANJAY KUMAR SINGH,Bharatiya Janata Party,127193,457,127650,53.14
124,124 - LALGANJ,4,AMAR KUMAR SINGH,Jan Suraaj Party,4151,64,4215,1.75
124,124 - LALGANJ,5,MD. NIYAJ ALAM,Lok Shakti Party (Loktantrik),603,8,611,0.25
124,124 - LALGANJ,6,RAJENDRA SHARMA,Socialist Unity Centre Of India (COMMUNIST),370,3,373,0.16
124,124 - LALGANJ,7,AKHILESH KUMAR,Independent,459,2,461,0.19
124,124 - LALGANJ,8,ABHISHEK KUMAR SINGH,Independent,968,2,970,0.4
124,124 - LALGANJ,9,DHIRENDRA KUMAR MAHTO,Independent,4434,7,4441,1.85
124,124 - LALGANJ,10,VIDYA PRAKASH,Independent,2143,5,2148,0.89
124,124 - LALGANJ,11,NOTA,None of the Above,2162,12,2174,0.91
