Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
125,125 - VAISHALI,1,AJAY KUMAR KUSHWAHA,Rashtriya Janata Dal,75302,485,75787,31.89
125,125 - VAISHALI,2,NISHA RAJ,Bahujan Samaj Party,2305,16,2321,0.98
125,125 - VAISHALI,3,RAMEKBAL SINGH,Rashtriya Lok Janshakti Party,1431,8,1439,0.61
125,125 - VAISHALI,4,SANJEEV SINGH,Indian National Congress,20269,126,20395,8.58
125,125 - VAISHALI,5,SIDDHARTH PATEL,Janata Dal (United),107853,524,108377,45.6
125,125 - VAISHALI,6,DR. BIPIN CHANDRA,Samata Party,2080,4,2084,0.88
125,125 - VAISHALI,7,MD. MURTAZA HOSSAIN HAQUE,Ambedkar National Congress,841,6,847,0.36
125,125 - VAISHALI,8,RAJ KUMAR,Bajjikanchal Vikas Party,1122,1,1123,0.47
125,125 - VAISHALI,9,RAM NATH RAY,Socialist Unity Centre Of India (COMMUNIST),2820,3,2823,1.19
125,125 - VAISHALI,10,SUNIL KUMAR,Jan Suraaj Party,9047,61,9108,3.83
125,125 - VAISHALI,11,ANAND KUMAR,Independent,1526,2,1528,0.64
125,125 - VAISHALI,12,RUBI KUMARI,Independent,3163,11,3174,1.34
125,125 - VAISHALI,13,BRISHIN PATEL,Independent,4075,41,4116,1.73
125,125 - VAISHALI,14,NOTA,None of the Above,4554,8,4562,1.92
