Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
126,126 - MAHUA,1,MUKESH KUMAR RAUSHAN,Rashtriya Janata Dal,42406,238,42644,20.18
126,126 - MAHUA,2,RIMJHIM DEVI,Bahujan Samaj Party,6678,61,6739,3.19
126,126 - MAHUA,3,SANJAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),87356,285,87641,41.47
126,126 - MAHUA,4,AKHILESH KUMAR THAKUR,Nationalist Congress Party,998,2,1000,0.47
126,126 - MAHUA,5,AMIT KUMAR,All India Majlis-E-Ittehadul Muslimeen,15747,36,15783,7.47
126,126 - MAHUA,6,INDRAJEET PRADHAN,Jan Suraaj Party,2371,15,2386,1.13
126,126 - MAHUA,7,JAY NARAYAN SAH,Bajjikanchal Vikas Party,652,0,652,0.31
126,126 - MAHUA,8,TEJ PRATAP YADAV,Janshakti Janta Dal,35333,370,35703,16.89
126,126 - MAHUA,9,RAJU MAHTO,Bhartiya Sarthak Party,1369,3,1372,0.65
126,126 - MAHUA,10,LALIT KUMAR GHOSH,Socialist Unity Centre Of India (COMMUNIST),558,2,560,0.26
126,126 - MAHUA,11,AMRESH KUMAR,Independent,999,6,1005,0.48
126,126 - MAHUA,12,ASHMA PARVEEN,Independent,7321,106,7427,3.51
126,126 - MAHUA,13,NARESH RAY,Independent,1108,2,1110,0.53
126,126 - MAHUA,14,RAM SAGAR SAHNI,Independent,3646,3,3649,1.73
126,126 - MAHUA,15,SARITA SAH,Independent,939,1,940,0.44
126,126 - MAHUA,16,NOTA,None of the Above,2710,7,2717,1.29
