Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
127,127 - RAJA PAKAR,1,KRISHNA MOHAN PASWAN,Bahujan Samaj Party,1396,8,1404,0.76
127,127 - RAJA PAKAR,2,PRATIMA KUMARI,Indian National Congress,47639,430,48069,26.12
127,127 - RAJA PAKAR,3,MAHENDRA RAM,Janata Dal (United),95630,628,96258,52.31
127,127 - RAJA PAKAR,4,SHIVNATH KUMAR PASWAN,Rashtriya Lok Janshakti Party,1954,29,1983,1.08
127,127 - RAJA PAKAR,5,ASHOK PASWAN,Sathi Aur Aapka Faisala Party,887,3,890,0.48
127,127 - RAJA PAKAR,6,UMESH RAM,Socialist Unity Centre Of India (COMMUNIST),1147,4,1151,0.63
127,127 - RAJA PAKAR,7,CHANDAN KUMAR,All India Forward Bloc,382,0,382,0.21
127,127 - RAJA PAKAR,8,DHARMENDRA KUMAR,Jantantra Awaj Party,471,3,474,0.26
127,127 - RAJA PAKAR,9,PANKAJ KUMAR,Aazad Samaj Party (Kanshi Ram),2976,13,2989,1.62
127,127 - RAJA PAKAR,10,MUKESH KUMAR,Jan Suraaj Party,4616,85,4701,2.55
127,127 - RAJA PAKAR,11,MOHIT PASWAN,Communist Party of India,12870,120,12990,7.06
127,127 - RAJA PAKAR,12,SANJEEV CHOWDHARY,The Plurals Party,1364,1,1365,0.74
127,127 - RAJA PAKAR,13,AJAY KUMAR PASWAN,Independent,5745,3,5748,3.12
127,127 - RAJA PAKAR,14,KAVITA KUMARI,Independent,3472,5,3477,1.89
127,127 - RAJA PAKAR,15,NOTA,None of the Above,2128,9,2137,1.16
