Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
128,128 - RAGHOPUR,1,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,117946,651,118597,49.74
128,128 - RAGHOPUR,2,RAJU KUMAR,Aam Aadmi Party,1319,3,1322,0.55
128,128 - RAGHOPUR,3,SATISH KUMAR,Bharatiya Janata Party,103520,545,104065,43.64
128,128 - RAGHOPUR,4,ANIL SINGH,Nationalist Congress Party,982,1,983,0.41
128,128 - RAGHOPUR,5,UMESH MAHATO,Rashtriya Jansambhavna Party,451,3,454,0.19
128,128 - RAGHOPUR,6,KAVITA KUMARI,Bihar Justice Party,196,3,199,0.08
128,128 - RAGHOPUR,7,CHANCHAL KUMAR,Jan Suraaj Party,2348,51,2399,1.01
128,128 - RAGHOPUR,8,PREM KUMAR,Janshakti Janta Dal,706,3,709,0.3
128,128 - RAGHOPUR,9,MOHAMAD RIZWANUL AZAM,Janta Dal Rashtravadi,403,5,408,0.17
128,128 - RAGHOPUR,10,RAM BABU RAY,Jantantra Awaj Party,359,1,360,0.15
128,128 - RAGHOPUR,11,SHILAM JHA,Akhil Hind Forward Bloc (Krantikari),794,0,794,0.33
128,128 - RAGHOPUR,12,BALIRAM SINGH,Independent,3086,0,3086,1.29
128,128 - RAGHOPUR,13,BAIDYANATH KUMAR SAH,Independent,1039,0,1039,0.44
128,128 - RAGHOPUR,14,NOTA,None of the Above,4025,8,4033,1.69
