Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
129,129 - MAHNAR,1,ACHUTANAND,Rashtriya Lok Janshakti Party,2523,31,2554,1.27
129,129 - MAHNAR,2,UMESH SINGH KUSHWAHA,Janata Dal (United),97482,568,98050,48.59
129,129 - MAHNAR,3,OM PRABHA KUMARI,Bahujan Samaj Party,1680,13,1693,0.84
129,129 - MAHNAR,4,RAVINDRA KUMAR SINGH,Rashtriya Janata Dal,59007,485,59492,29.48
129,129 - MAHNAR,5,VIPIN KUMAR,Aam Aadmi Party,1398,9,1407,0.7
129,129 - MAHNAR,6,JAI SINGH,Janshakti Janta Dal,847,2,849,0.42
129,129 - MAHNAR,7,MITHILESH KUMAR SINGH SATHI,Sathi Aur Aapka Faisala Party,611,0,611,0.3
129,129 - MAHNAR,8,YOGANAND KUMAR SINGH KUSVAHA,Ambedkar National Congress,347,1,348,0.17
129,129 - MAHNAR,9,RAVIRANJAN KUMAR SINGH,Vikas Insaf Party,432,1,433,0.21
129,129 - MAHNAR,10,DR. RAJESH KUMAR,Jan Suraaj Party,4446,66,4512,2.24
129,129 - MAHNAR,11,KIRAN YADAV,Independent,403,3,406,0.2
129,129 - MAHNAR,12,CHANDAN KUMAR,Independent,738,5,743,0.37
129,129 - MAHNAR,13,MITHILESH KUMAR SINGH,Independent,1826,0,1826,0.9
129,129 - MAHNAR,14,RAMESH SAHNI,Independent,1970,4,1974,0.98
129,129 - MAHNAR,15,VIPIN KUMAR,Independent,7598,59,7657,3.79
129,129 - MAHNAR,16,SHIVESHWAR KUMAR,Independent,1726,3,1729,0.86
129,129 - MAHNAR,17,SANJAY KUMAR RAY,Independent,14038,115,14153,7.01
129,129 - MAHNAR,18,SUBODH SINGH,Independent,2029,0,2029,1.01
129,129 - MAHNAR,19,NOTA,None of the Above,1312,9,1321,0.65
