Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
130,130 - PATEPUR,1,PREMA CHAUDHARY,Rashtriya Janata Dal,85475,501,85976,41.03
130,130 - PATEPUR,2,MIRA DEVI,Bahujan Samaj Party,1591,5,1596,0.76
130,130 - PATEPUR,3,LAKHENDRA KUMAR RAUSHAN,Bharatiya Janata Party,107977,379,108356,51.71
130,130 - PATEPUR,4,DASAI CHAUDHARY,Jan Suraaj Party,4138,43,4181,2
130,130 - PATEPUR,5,RINA KUMARI,Janshakti Janta Dal,557,2,559,0.27
130,130 - PATEPUR,6,ANIL PASWAN,Independent,380,0,380,0.18
130,130 - PATEPUR,7,AWANISH,Independent,365,0,365,0.17
130,130 - PATEPUR,8,FAGUNI MANJHI,Independent,845,1,846,0.4
130,130 - PATEPUR,9,SANJAY PASWAN,Independent,3423,0,3423,1.63
130,130 - PATEPUR,10,SUNAINA DEVI,Independent,1260,0,1260,0.6
130,130 - PATEPUR,11,NOTA,None of the Above,2592,6,2598,1.24
