Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
132,132 - WARISNAGAR,1,UPENDRA PRASAD ROY,Aam Aadmi Party,3589,2,3591,1.53
132,132 - WARISNAGAR,2,KANCHAN KUMARI BHARTI,Bahujan Samaj Party,1546,1,1547,0.66
132,132 - WARISNAGAR,3,GOVIND KUMAR,Rashtriya Lok Janshakti Party,4157,21,4178,1.78
132,132 - WARISNAGAR,4,PHOOLBABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),74329,203,74532,31.75
132,132 - WARISNAGAR,5,MANJARIK MRINAL,Janata Dal (United),108751,217,108968,46.41
132,132 - WARISNAGAR,6,CHANDAN KUMAR,Hindustani Awam Manch (United),3125,5,3130,1.33
132,132 - WARISNAGAR,7,RAM KUMAR,Rashtriya Jansambhavna Party,889,0,889,0.38
132,132 - WARISNAGAR,8,SHAKTI KUMAR SAHNI,Right to Recall Party,1297,2,1299,0.55
132,132 - WARISNAGAR,9,SATYANARAYAN SAHANI,Jan Suraaj Party,13005,76,13081,5.57
132,132 - WARISNAGAR,10,ABHINAV RAJ,Independent,7248,7,7255,3.09
132,132 - WARISNAGAR,11,ZAHID IQBAL,Independent,5428,2,5430,2.31
132,132 - WARISNAGAR,12,DILIP ROY,Independent,2567,1,2568,1.09
132,132 - WARISNAGAR,13,MAHESH PRASAD,Independent,2708,2,2710,1.15
132,132 - WARISNAGAR,14,NOTA,None of the Above,5602,3,5605,2.39
