Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
133,133 - SAMASTIPUR,1,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,81530,323,81853,41.16
133,133 - SAMASTIPUR,2,ASHWAMEDH DEVI,Janata Dal (United),95476,252,95728,48.14
133,133 - SAMASTIPUR,3,RAJAN KUMAR,Aam Aadmi Party,1713,2,1715,0.86
133,133 - SAMASTIPUR,4,VINAY KUMAR RAM,Bahujan Samaj Party,589,2,591,0.3
133,133 - SAMASTIPUR,5,IRSHAD AHMAD,Apna Kisan Party,342,0,342,0.17
133,133 - SAMASTIPUR,6,DINESH KUMAR RAI,Rashtriya Jansambhavna Party,432,0,432,0.22
133,133 - SAMASTIPUR,7,NITESH KUMAR SINHA,Bharatiya Sampuran Krantikari Party,683,1,684,0.34
133,133 - SAMASTIPUR,8,PREMJEET KUMAR,Aadarsh Mithila Party,431,0,431,0.22
133,133 - SAMASTIPUR,9,MANOJ KUMAR SINGH,Jan Suraaj Party,4911,27,4938,2.48
133,133 - SAMASTIPUR,10,RAKESH KUMAR,Socialist Unity Centre Of India (COMMUNIST),492,0,492,0.25
133,133 - SAMASTIPUR,11,SHIVAM KUMAR RAJ,The Plurals Party,939,0,939,0.47
133,133 - SAMASTIPUR,12,CHETNA JHAMB,Independent,6172,21,6193,3.11
133,133 - SAMASTIPUR,13,NOTA,None of the Above,4520,7,4527,2.28
