Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
134,134 - UJIARPUR,1,ANKIT KUMAR MISHRA,Aam Aadmi Party,2620,4,2624,1.14
134,134 - UJIARPUR,2,ALOK KUMAR MEHTA,Rashtriya Janata Dal,102292,415,102707,44.66
134,134 - UJIARPUR,3,BULBUL KUMAR SAHNI,Bahujan Samaj Party,2445,7,2452,1.07
134,134 - UJIARPUR,4,DURGA PRASAD SINGH,Jan Suraaj Party,9445,57,9502,4.13
134,134 - UJIARPUR,5,PRASHANT KUMAR PANKAJ,Rashtriya Lok Morcha,86262,162,86424,37.58
134,134 - UJIARPUR,6,SUNITA KUMARI,Janshakti Vikas Party (Democratic),2656,5,2661,1.16
134,134 - UJIARPUR,7,ARUN KUMAR YADAV,Independent,893,0,893,0.39
134,134 - UJIARPUR,8,UPENDRA KUMAR,Independent,6421,31,6452,2.81
134,134 - UJIARPUR,9,DINESH PRASAD CHOUDHARY,Independent,987,0,987,0.43
134,134 - UJIARPUR,10,DILIP KUMAR SAHANI,Independent,760,0,760,0.33
134,134 - UJIARPUR,11,NIKKI JHA,Independent,993,2,995,0.43
134,134 - UJIARPUR,12,MAHA SHANKER CHOUDHARY,Independent,3175,2,3177,1.38
134,134 - UJIARPUR,13,RANVEER KUMAR CHOURASIYA,Independent,3458,5,3463,1.51
134,134 - UJIARPUR,14,VIKAS KUMAR,Independent,1743,1,1744,0.76
134,134 - UJIARPUR,15,VIRENDRA KUMAR RAY,Independent,3077,0,3077,1.34
134,134 - UJIARPUR,16,NOTA,None of the Above,2068,9,2077,0.9
