Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
135,135 - MORWA,1,TUNTUN RAY,Aam Aadmi Party,3143,2,3145,1.6
135,135 - MORWA,2,RANVIJAY SAHU,Rashtriya Janata Dal,77551,219,77770,39.53
135,135 - MORWA,3,VIDYA SAGAR SINGH NISHAD,Janata Dal (United),68969,130,69099,35.13
135,135 - MORWA,4,SANTHOSH RAI,Bahujan Samaj Party,1283,5,1288,0.65
135,135 - MORWA,5,CHANDRASHEKHAR RAI,Socialist Unity Centre Of India (COMMUNIST),2728,0,2728,1.39
135,135 - MORWA,6,JAGRITI,Jan Suraaj Party,4094,37,4131,2.1
135,135 - MORWA,7,BRIJENDU KUMAR SINGH,Hindustani Awam Manch (United),1683,1,1684,0.86
135,135 - MORWA,8,RANJEET KUMAR,Apna Kisan Party,3259,0,3259,1.66
135,135 - MORWA,9,ABHAY KUMAR SINGH,Independent,29960,86,30046,15.27
135,135 - MORWA,10,NOTA,None of the Above,3568,3,3571,1.82
