Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
137,137 - MOHIUDDINNAGAR,1,AMRENDRA KUMAR YADAV,Bahujan Samaj Party,1238,6,1244,0.68
137,137 - MOHIUDDINNAGAR,2,UMESH RAY,Aam Aadmi Party,520,6,526,0.29
137,137 - MOHIUDDINNAGAR,3,EJYA YADAV,Rashtriya Janata Dal,77279,247,77526,42.31
137,137 - MOHIUDDINNAGAR,4,RAJESH KUMAR SINGH,Bharatiya Janata Party,88994,214,89208,48.68
137,137 - MOHIUDDINNAGAR,5,AJAY KUMAR BULGANIN,Janshakti Janta Dal,1491,7,1498,0.82
137,137 - MOHIUDDINNAGAR,6,BHUSHAN PRASAD RAY,Janta Dal Rashtravadi,514,3,517,0.28
137,137 - MOHIUDDINNAGAR,7,RAJKAPOOR SINGH,Jan Suraaj Party,4373,41,4414,2.41
137,137 - MOHIUDDINNAGAR,8,RAM MOHAN RAY,Sathi Aur Aapka Faisala Party,400,1,401,0.22
137,137 - MOHIUDDINNAGAR,9,ABHIRANJAN KUMAR,Independent,703,1,704,0.38
137,137 - MOHIUDDINNAGAR,10,VISHWANATH SAH,Independent,2229,1,2230,1.22
137,137 - MOHIUDDINNAGAR,11,SUNIL KUMAR RAY,Independent,2025,0,2025,1.11
137,137 - MOHIUDDINNAGAR,12,SURJEET SHYAMAL,Independent,747,3,750,0.41
137,137 - MOHIUDDINNAGAR,13,NOTA,None of the Above,2193,4,2197,1.2
