Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
138,138 - BIBHUTIPUR,1,AJAY KUMAR,Communist Party of India (Marxist),78908,338,79246,40.37
138,138 - BIBHUTIPUR,2,ARVIND KUMAR,Aam Aadmi Party,2569,5,2574,1.31
138,138 - BIBHUTIPUR,3,AWADHESH KUMAR,Bahujan Samaj Party,1456,6,1462,0.74
138,138 - BIBHUTIPUR,4,RAVINA KUSHWAHA,Janata Dal (United),68824,141,68965,35.13
138,138 - BIBHUTIPUR,5,NEEL KAMAL,Janshakti Janta Dal,1515,3,1518,0.77
138,138 - BIBHUTIPUR,6,VISHWANATH CHOUDHARY,Jan Suraaj Party,13399,51,13450,6.85
138,138 - BIBHUTIPUR,7,AMARJEET KUMAR,Independent,1302,6,1308,0.67
138,138 - BIBHUTIPUR,8,KANHAIYA KUMAR,Independent,956,1,957,0.49
138,138 - BIBHUTIPUR,9,NAVIN KUMAR,Independent,713,0,713,0.36
138,138 - BIBHUTIPUR,10,PRAHLAD,Independent,901,0,901,0.46
138,138 - BIBHUTIPUR,11,RAM LAL TANTI,Independent,2313,0,2313,1.18
138,138 - BIBHUTIPUR,12,RUPANJALI KUMARI,Independent,14411,45,14456,7.36
138,138 - BIBHUTIPUR,13,SHASHI BHUSHAN DAS,Independent,1862,4,1866,0.95
138,138 - BIBHUTIPUR,14,SUSHANT KUMAR,Independent,1781,1,1782,0.91
138,138 - BIBHUTIPUR,15,NOTA,None of the Above,4805,2,4807,2.45
