Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
140,140 - HASANPUR,1,BIBHA DEVI,Bahujan Samaj Party,1716,7,1723,0.84
140,140 - HASANPUR,2,MANMOHAN KUMAR,Aam Aadmi Party,2127,0,2127,1.04
140,140 - HASANPUR,3,MALA PUSHPAM,Rashtriya Janata Dal,82839,208,83047,40.57
140,140 - HASANPUR,4,RAJ KUMAR RAY,Janata Dal (United),90810,151,90961,44.43
140,140 - HASANPUR,5,ASHWINI KUMAR,The Plurals Party,1281,1,1282,0.63
140,140 - HASANPUR,6,INDU DEVI,Jan Suraaj Party,9527,26,9553,4.67
140,140 - HASANPUR,7,IMTIYAZ ALAM RAMZAN ALI SHAIKH,Socialist Party (India),1220,3,1223,0.6
140,140 - HASANPUR,8,CHANDRA MOHAN KUMAR,Jagrook Janta Party,1467,0,1467,0.72
140,140 - HASANPUR,9,MANOJ MUKHIYA,Independent,4671,2,4673,2.28
140,140 - HASANPUR,10,FULO SAHNI,Independent,3294,0,3294,1.61
140,140 - HASANPUR,11,SWETANK ANAND,Independent,1349,0,1349,0.66
140,140 - HASANPUR,12,NOTA,None of the Above,4012,1,4013,1.96
