Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
141,141 - CHERIA - BARIARPUR,1,ABHISHEK ANAND,Janata Dal (United),74898,183,75081,39.24
141,141 - CHERIA - BARIARPUR,2,SUSHIL KUMAR,Rashtriya Janata Dal,70682,280,70962,37.09
141,141 - CHERIA - BARIARPUR,3,MRITUNJAY KUMAR,Jan Suraaj Party,24474,121,24595,12.86
141,141 - CHERIA - BARIARPUR,4,RAKESH KUMAR,Rashtriya Jan Vikas Party,1426,1,1427,0.75
141,141 - CHERIA - BARIARPUR,5,RAJ KUMAR,Bhagidari Party(P),1402,2,1404,0.73
141,141 - CHERIA - BARIARPUR,6,RAM ASHIS SHARMA,Jagrook Janta Party,1189,1,1190,0.62
141,141 - CHERIA - BARIARPUR,7,RAM SAKHA MAHTO,Independent,7480,57,7537,3.94
141,141 - CHERIA - BARIARPUR,8,RAM SWARTH PRASAD,Independent,1484,2,1486,0.78
141,141 - CHERIA - BARIARPUR,9,VIJAY TANTI,Independent,2483,0,2483,1.3
141,141 - CHERIA - BARIARPUR,10,NOTA,None of the Above,5148,3,5151,2.69
