Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
143,143 - TEGHRA,1,MOHAMMAD SAKIL,Bahujan Samaj Party,1667,8,1675,0.79
143,143 - TEGHRA,2,RAJNISH KUMAR,Bharatiya Janata Party,112423,347,112770,53.04
143,143 - TEGHRA,3,AVADHESH KUMAR,Janta Kranti Party (Rashtravadi),1284,4,1288,0.61
143,143 - TEGHRA,4,AVINASH BHARTI,Samata Party,587,11,598,0.28
143,143 - TEGHRA,5,CHANDRA PRAKASH SINGH,Janshakti Janta Dal,1051,8,1059,0.5
143,143 - TEGHRA,6,RAM NANDAN SINGH,Jan Suraaj Party,8363,79,8442,3.97
143,143 - TEGHRA,7,RAM RATAN SINGH,Communist Party of India,77095,311,77406,36.4
143,143 - TEGHRA,8,KEDARNATH BHASKAR,Independent,1273,2,1275,0.6
143,143 - TEGHRA,9,BASANT KUMAR,Independent,582,4,586,0.28
143,143 - TEGHRA,10,MRINAL VARUN,Independent,519,2,521,0.25
143,143 - TEGHRA,11,RAM KUMAR,Independent,854,1,855,0.4
143,143 - TEGHRA,12,RAM PUKAR THAKUR,Independent,964,0,964,0.45
143,143 - TEGHRA,13,SUDHA BHARTI,Independent,3162,7,3169,1.49
143,143 - TEGHRA,14,NOTA,None of the Above,2011,10,2021,0.95
