Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
145,145 - SAHEBPUR KAMAL,1,ANANT KUMAR PODDAR,Bahujan Samaj Party,929,13,942,0.5
145,145 - SAHEBPUR KAMAL,2,SANJAY YADAV,Rashtriya Lok Janshakti Party,989,10,999,0.53
145,145 - SAHEBPUR KAMAL,3,SATTANAND SAMBUDDHA ALIAS LALAN JEE,Rashtriya Janata Dal,76463,335,76798,40.49
145,145 - SAHEBPUR KAMAL,4,SURENDRA KUMAR ALIAS SURENDRA VIVEK,Lok Janshakti Party (Ram Vilas),60844,233,61077,32.2
145,145 - SAHEBPUR KAMAL,5,MD. ABDULLAH,Jan Suraaj Party,3360,36,3396,1.79
145,145 - SAHEBPUR KAMAL,6,MD MERAJ,Samata Party,490,0,490,0.26
145,145 - SAHEBPUR KAMAL,7,SURENDRA KUMAR,Parivartan Party of India,674,3,677,0.36
145,145 - SAHEBPUR KAMAL,8,MD. AFTAB ALAM,Independent,392,2,394,0.21
145,145 - SAHEBPUR KAMAL,9,PRIYANKA KUMARI,Independent,727,3,730,0.38
145,145 - SAHEBPUR KAMAL,10,VIVEKANAND PRASAD,Independent,473,3,476,0.25
145,145 - SAHEBPUR KAMAL,11,VISHWAJEET KUMAR ALIAS VIKAS,Independent,1283,2,1285,0.68
145,145 - SAHEBPUR KAMAL,12,SHASHIKANT KUMAR SHASHI ALIAS AMAR KUMAR SINGH,Independent,34661,120,34781,18.34
145,145 - SAHEBPUR KAMAL,13,MD. SHAHZADUZZAMA ALIAS SAIFY,Independent,4904,1,4905,2.59
145,145 - SAHEBPUR KAMAL,14,SENTU KUMAR,Independent,981,2,983,0.52
145,145 - SAHEBPUR KAMAL,15,NOTA,None of the Above,1745,6,1751,0.92
