Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
146,146 - BEGUSARAI,1,AMITA BHUSHAN,Indian National Congress,88345,529,88874,38.9
146,146 - BEGUSARAI,2,KUNDAN KUMAR,Bharatiya Janata Party,119135,371,119506,52.31
146,146 - BEGUSARAI,3,MIRA SINGH,Aam Aadmi Party,1113,2,1115,0.49
146,146 - BEGUSARAI,4,MOHAMMAD ABDUL HAQUE,Bahujan Samaj Party,369,3,372,0.16
146,146 - BEGUSARAI,5,GAUTAM KUMAR,Socialist Unity Centre Of India (COMMUNIST),215,1,216,0.09
146,146 - BEGUSARAI,6,RAMKRISHNA MAHTO,Janshakti Janta Dal,519,0,519,0.23
146,146 - BEGUSARAI,7,SURENDRA KUMAR SAHANI,Jan Suraaj Party,7711,62,7773,3.4
146,146 - BEGUSARAI,8,SUSHIL KUMAR,Samata Party,722,5,727,0.32
146,146 - BEGUSARAI,9,ARUN KUMAR,Independent,375,0,375,0.16
146,146 - BEGUSARAI,10,MD GAFFAR KHAN,Independent,519,0,519,0.23
146,146 - BEGUSARAI,11,PINKI SINHA,Independent,425,0,425,0.19
146,146 - BEGUSARAI,12,MANOJ KUMAR,Independent,537,0,537,0.24
146,146 - BEGUSARAI,13,VIJAY KUMAR,Independent,1014,3,1017,0.45
146,146 - BEGUSARAI,14,MD SADDAM HUSAIN,Independent,2909,3,2912,1.27
146,146 - BEGUSARAI,15,NOTA,None of the Above,3544,16,3560,1.56
