Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
147,147 - BAKHRI,1,NIRA DEVI,Rashtriya Lok Janshakti Party,2445,5,2450,1.19
147,147 - BAKHRI,2,SANJAY KUMAR,Lok Janshakti Party (Ram Vilas),98368,143,98511,47.67
147,147 - BAKHRI,3,RAJESH KUMAR,Rashtriya Suraksha Party,2056,4,2060,1
147,147 - BAKHRI,4,VIKASH KUMAR,Nationalist Congress Party,609,0,609,0.29
147,147 - BAKHRI,5,SANJAY KUMAR,Jan Suraaj Party,11471,58,11529,5.58
147,147 - BAKHRI,6,SURYAKANT PASWAN,Communist Party of India,80837,356,81193,39.29
147,147 - BAKHRI,7,KIRAN KUMARI,Independent,1419,4,1423,0.69
147,147 - BAKHRI,8,GAUTAM SADA,Independent,2216,5,2221,1.07
147,147 - BAKHRI,9,SANJIV KUMAR PASWAN,Independent,2967,1,2968,1.44
147,147 - BAKHRI,10,NOTA,None of the Above,3668,5,3673,1.78
