Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
149,149 - KHAGARIA,1,CHANDAN KUMAR ALIAS DR. CHANDAN YADAV,Indian National Congress,70171,402,70573,38.51
149,149 - KHAGARIA,2,BABLU KUMAR,Janata Dal (United),93657,331,93988,51.29
149,149 - KHAGARIA,3,JAYANTI PATEL,Jan Suraaj Party,4185,47,4232,2.31
149,149 - KHAGARIA,4,NAVIN KUMAR,Jagrook Janta Party,399,2,401,0.22
149,149 - KHAGARIA,5,VINAY KUMAR VERMA,Bhartiya Lok Chetna Party,454,5,459,0.25
149,149 - KHAGARIA,6,AMITABH KUMAR,Independent,337,0,337,0.18
149,149 - KHAGARIA,7,TINKU KUMAR LAHERI,Independent,517,1,518,0.28
149,149 - KHAGARIA,8,MADHU KUMAR BHARTI,Independent,1009,6,1015,0.55
149,149 - KHAGARIA,9,MANISH KUMAR SINGH,Independent,5398,109,5507,3.01
149,149 - KHAGARIA,10,LALAN KUMAR,Independent,2545,0,2545,1.39
149,149 - KHAGARIA,11,NOTA,None of the Above,3656,6,3662,2
