Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
150,150 - BELDAUR,1,PANNA LAL SINGH PATEL,Janata Dal (United),105955,307,106262,48.87
150,150 - BELDAUR,2,MITHILESH KUMAR NISHAD,Indian National Congress,70794,293,71087,32.7
150,150 - BELDAUR,3,RAHUL KUMAR BASU,Aam Aadmi Party,2391,1,2392,1.1
150,150 - BELDAUR,4,VIDYA NAND YADAV,Bahujan Samaj Party,1029,3,1032,0.47
150,150 - BELDAUR,5,SUNITA SHARMA,Rashtriya Lok Janshakti Party,4960,18,4978,2.29
150,150 - BELDAUR,6,AJAY KUMAR,Rashtriya Jansambhavna Party,851,2,853,0.39
150,150 - BELDAUR,7,ATAL BIHARI,GaribJanta Party Loktantrik,615,2,617,0.28
150,150 - BELDAUR,8,AVDESH KUMAR PANDIT,Bhagidari Party(P),1197,4,1201,0.55
150,150 - BELDAUR,9,GAJENDRA KUMAR SINGH,Jan Suraaj Party,5200,35,5235,2.41
150,150 - BELDAUR,10,JAMIL AHMAD,All India Forward Bloc,636,0,636,0.29
150,150 - BELDAUR,11,TANISHA BHARTI,Indian Inclusive Party,9168,20,9188,4.23
150,150 - BELDAUR,12,RANDHIR KESARI,Independent,1184,1,1185,0.55
150,150 - BELDAUR,13,DR. RAVI KUMAR,Independent,1902,5,1907,0.88
150,150 - BELDAUR,14,SHIV NARAYAN SINGH,Independent,2863,0,2863,1.32
150,150 - BELDAUR,15,NOTA,None of the Above,7976,4,7980,3.67
