Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
152,152 - BIHPUR,1,KUMAR SHAILENDRA,Bharatiya Janata Party,91239,219,91458,52.39
152,152 - BIHPUR,2,KRISHNA KUMAR MANDAL,Bahujan Samaj Party,1231,5,1236,0.71
152,152 - BIHPUR,3,ARPANA KUMARI,Vikassheel Insaan Party,61326,107,61433,35.19
152,152 - BIHPUR,4,PAWAN CHOUDHARY,Jan Suraaj Party,8789,32,8821,5.05
152,152 - BIHPUR,5,SANJEEV KUMAR,Gantantrik Samaj Party,622,2,624,0.36
152,152 - BIHPUR,6,AJAY KUMAR RAVIDAS,Independent,1031,1,1032,0.59
152,152 - BIHPUR,7,ABNISH KUMAR,Independent,2035,8,2043,1.17
152,152 - BIHPUR,8,KISHOR KUMAR,Independent,1239,0,1239,0.71
152,152 - BIHPUR,9,MAMTA KUMARI,Independent,2519,11,2530,1.45
152,152 - BIHPUR,10,RUPAM DEVI,Independent,868,2,870,0.5
152,152 - BIHPUR,11,NOTA,None of the Above,3265,4,3269,1.87
