Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
153,153 - GOPALPUR,1,SHAILESH KUMAR ALIAS BULO MANDAL,Janata Dal (United),108453,177,108630,56.75
153,153 - GOPALPUR,2,SUMAN KUMAR,Bahujan Samaj Party,1167,4,1171,0.61
153,153 - GOPALPUR,3,PREM SAGAR ALIAS DABLU YADAV,Vikassheel Insaan Party,50399,96,50495,26.38
153,153 - GOPALPUR,4,BHARAT BHUSHAN GANPATI,Lok Shakti Party (Loktantrik),1527,2,1529,0.8
153,153 - GOPALPUR,5,MANKESHWAR SINGH ALIAS MANTU SINGH,Jan Suraaj Party,4657,44,4701,2.46
153,153 - GOPALPUR,6,NARENDRA KUMAR NIRAJ,Independent,12657,29,12686,6.63
153,153 - GOPALPUR,7,PIYUSH JHA,Independent,593,1,594,0.31
153,153 - GOPALPUR,8,RAJIV KUMAR SINGH,Independent,691,0,691,0.36
153,153 - GOPALPUR,9,SANJIV KUMAR YADAV ALIAS MOTI YADAV,Independent,4467,5,4472,2.34
153,153 - GOPALPUR,10,SONI BHARTI,Independent,1647,4,1651,0.86
153,153 - GOPALPUR,11,NOTA,None of the Above,4777,5,4782,2.5
