Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
154,154 - PIRPAINTI,1,PRITAM KUMAR,Aam Aadmi Party,2191,8,2199,0.89
154,154 - PIRPAINTI,2,MURARI PASAVAN,Bharatiya Janata Party,140370,238,140608,56.81
154,154 - PIRPAINTI,3,RAM VILASH PASAVAN,Rashtriya Janata Dal,87291,210,87501,35.36
154,154 - PIRPAINTI,4,SUNIL KUMAR CHOUDHARY,Bahujan Samaj Party,1576,10,1586,0.64
154,154 - PIRPAINTI,5,GHANSHYAM DAS,Jan Suraaj Party,5601,43,5644,2.28
154,154 - PIRPAINTI,6,NAND KISHOR RAJAK,Suheldev Bharatiya Samaj Party,488,2,490,0.2
154,154 - PIRPAINTI,7,RAJESH PASWAN,Bhartiya Lok Chetna Party,533,1,534,0.22
154,154 - PIRPAINTI,8,SAHDEV KUMAR,Peoples Party of India (Democratic),1354,1,1355,0.55
154,154 - PIRPAINTI,9,ASHOK KUMAR PASWAN,Independent,2303,0,2303,0.93
154,154 - PIRPAINTI,10,RAHUL KUMAR PASWAN,Independent,2533,0,2533,1.02
154,154 - PIRPAINTI,11,NOTA,None of the Above,2731,5,2736,1.11
