Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
155,155 - KAHALGAON,1,PRAVIN SINGH,Indian National Congress,10043,40,10083,4
155,155 - KAHALGAON,2,BHAVESH KUMAR,Bahujan Samaj Party,1451,2,1453,0.58
155,155 - KAHALGAON,3,RAJNISH BHARTI,Rashtriya Janata Dal,80561,94,80655,32.01
155,155 - KAHALGAON,4,SHUBHANAND MUKESH,Janata Dal (United),130589,178,130767,51.9
155,155 - KAHALGAON,5,NIRMAL KUMAR,Akhand Bhartiya Yuva Party,1345,0,1345,0.53
155,155 - KAHALGAON,6,MANJAR ALAM,Jan Suraaj Party,3330,18,3348,1.33
155,155 - KAHALGAON,7,ANUJ KUMAR MANDAL,Independent,930,1,931,0.37
155,155 - KAHALGAON,8,OM PRAKASH MANDAL,Independent,760,2,762,0.3
155,155 - KAHALGAON,9,PAWAN KUMAR YADAV,Independent,10230,14,10244,4.07
155,155 - KAHALGAON,10,MAHENDRA TANTI,Independent,1081,0,1081,0.43
155,155 - KAHALGAON,11,RAMCHANDRA MANDAL,Independent,3385,0,3385,1.34
155,155 - KAHALGAON,12,RUPAM DEVI,Independent,3039,1,3040,1.21
155,155 - KAHALGAON,13,SANJU KUMARI,Independent,1639,1,1640,0.65
155,155 - KAHALGAON,14,NOTA,None of the Above,3246,3,3249,1.29
