Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
156,156 - BHAGALPUR,1,AJEET SHARMA,Indian National Congress,87058,238,87296,44.28
156,156 - BHAGALPUR,2,REKHA DAS,Bahujan Samaj Party,688,6,694,0.35
156,156 - BHAGALPUR,3,ROHIT PANDEY,Bharatiya Janata Party,100519,251,100770,51.11
156,156 - BHAGALPUR,4,ABHAY KANT JHA,Jan Suraaj Party,3203,48,3251,1.65
156,156 - BHAGALPUR,5,S J VEDANT,Bhartiya Party (Loktantrik),299,0,299,0.15
156,156 - BHAGALPUR,6,YOGENDRA PRASAD YADAV,Peoples Party of India (Democratic),152,0,152,0.08
156,156 - BHAGALPUR,7,RAVI KUMAR SINGH,Socialist Unity Centre Of India (COMMUNIST),145,0,145,0.07
156,156 - BHAGALPUR,8,SANJAY KUMAR YADAV,Socialist Party (India),275,0,275,0.14
156,156 - BHAGALPUR,9,CHANDRA KISHORE SAH,Independent,291,0,291,0.15
156,156 - BHAGALPUR,10,DHANANJAY KUMAR PANDEY,Independent,302,0,302,0.15
156,156 - BHAGALPUR,11,NISHA BHARTI,Independent,1202,2,1204,0.61
156,156 - BHAGALPUR,12,SUBODH MANDAL,Independent,492,1,493,0.25
156,156 - BHAGALPUR,13,NOTA,None of the Above,1970,4,1974,1
