Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
157,157 - SULTANGANJ,1,CHANDAN KUMAR ALIAS CHANDAN KUMAR SINHA,Rashtriya Janata Dal,77402,174,77576,36.97
157,157 - SULTANGANJ,2,MATIUR RAHMAN,Bahujan Samaj Party,979,1,980,0.47
157,157 - SULTANGANJ,3,LALAN KUMAR,Indian National Congress,2723,31,2754,1.31
157,157 - SULTANGANJ,4,LALIT NARAYAN MANDAL,Janata Dal (United),108523,189,108712,51.81
157,157 - SULTANGANJ,5,BANTY THAKUR,Samata Party,1633,1,1634,0.78
157,157 - SULTANGANJ,6,BIPIN KUMAR SINGH,Bhartiya Lok Chetna Party,1021,2,1023,0.49
157,157 - SULTANGANJ,7,RAKESH KUMAR,Jan Suraaj Party,4364,38,4402,2.1
157,157 - SULTANGANJ,8,SUNIL KUMAR,Socialist Unity Centre Of India (COMMUNIST),1245,0,1245,0.59
157,157 - SULTANGANJ,9,SUMAN KUMAR,Jagrook Janta Party,982,1,983,0.47
157,157 - SULTANGANJ,10,AJIT KUMAR,Independent,4278,8,4286,2.04
157,157 - SULTANGANJ,11,DHARMENDRA SINGH,Independent,858,2,860,0.41
157,157 - SULTANGANJ,12,RAHUL KUMAR,Independent,1250,1,1251,0.6
157,157 - SULTANGANJ,13,NOTA,None of the Above,4106,2,4108,1.96
