Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
158,158 - NATHNAGAR,1,MITHUN KUMAR,Lok Janshakti Party (Ram Vilas),117976,167,118143,48.92
158,158 - NATHNAGAR,2,RAVISH CHANDRA RAVI KUSHWAHA,Bahujan Samaj Party,1994,4,1998,0.83
158,158 - NATHNAGAR,3,SHEIKH ZEYAUL HASSAN,Rashtriya Janata Dal,92534,185,92719,38.39
158,158 - NATHNAGAR,4,AJAY KUMAR ROY,Jan Suraaj Party,5194,39,5233,2.17
158,158 - NATHNAGAR,5,MD ISMAIL,All India Majlis-E-Ittehadul Muslimeen,8220,6,8226,3.41
158,158 - NATHNAGAR,6,MD MANZAR ALAM,Bhartiya Party (Loktantrik),216,1,217,0.09
158,158 - NATHNAGAR,7,SUSHIL PRASAD YADAV,Peoples Party of India (Democratic),343,1,344,0.14
158,158 - NATHNAGAR,8,ARAVIND MANDAL,Independent,452,5,457,0.19
158,158 - NATHNAGAR,9,CHETAN RAM,Independent,568,0,568,0.24
158,158 - NATHNAGAR,10,JAI PRAKASH MANDAL,Independent,1421,2,1423,0.59
158,158 - NATHNAGAR,11,JAYKARAN PASWAN,Independent,465,0,465,0.19
158,158 - NATHNAGAR,12,DAYARAM MANDAL,Independent,419,1,420,0.17
158,158 - NATHNAGAR,13,SHANIJ KUMAR,Independent,1647,1,1648,0.68
158,158 - NATHNAGAR,14,SHARADA DEVI,Independent,3433,1,3434,1.42
158,158 - NATHNAGAR,15,SUDHIR KUMAR,Independent,999,3,1002,0.41
158,158 - NATHNAGAR,16,NOTA,None of the Above,5195,8,5203,2.15
