Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
159,159 - AMARPUR,1,JAYANT RAJ,Janata Dal (United),103717,227,103944,53.51
159,159 - AMARPUR,2,JITENDRA SINGH,Indian National Congress,70501,222,70723,36.41
159,159 - AMARPUR,3,MD ZAKIR HOSSAIN,Aam Aadmi Party,2215,6,2221,1.14
159,159 - AMARPUR,4,ROSHAN KUMAR SINGH,Bahujan Samaj Party,1510,5,1515,0.78
159,159 - AMARPUR,5,ANIL KUMAR SINGH,Nationalist Congress Party,393,4,397,0.2
159,159 - AMARPUR,6,SUJATA VAIDYA,Jan Suraaj Party,4753,36,4789,2.47
159,159 - AMARPUR,7,TRIPURANAND YADAV,Independent,390,2,392,0.2
159,159 - AMARPUR,8,NAZRANA PRAWEEN,Independent,558,0,558,0.29
159,159 - AMARPUR,9,NARESH CHANDRA YADVENDU,Independent,455,0,455,0.23
159,159 - AMARPUR,10,MOHAMMAD FURKAN,Independent,830,0,830,0.43
159,159 - AMARPUR,11,RITESH KUMAR JHA,Independent,2405,1,2406,1.24
159,159 - AMARPUR,12,NOTA,None of the Above,6013,4,6017,3.1
