Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
161,161 - BANKA,1,KUNDAN KUMAR ROY,Rashtriya Lok Janshakti Party,1276,7,1283,0.67
161,161 - BANKA,2,RAJNISH KUMAR CHOUDHARY,Aam Aadmi Party,1167,3,1170,0.61
161,161 - BANKA,3,RAM NARAYAN MANDAL,Bharatiya Janata Party,95413,175,95588,49.58
161,161 - BANKA,4,VINOD PANDIT,Bahujan Samaj Party,1773,11,1784,0.93
161,161 - BANKA,5,KAUSHAL KUMAR SINGH,Jan Suraaj Party,6612,37,6649,3.45
161,161 - BANKA,6,SANJAY KUMAR,Communist Party of India,71641,183,71824,37.25
161,161 - BANKA,7,AVINASH KUMAR,Independent,1374,1,1375,0.71
161,161 - BANKA,8,UMAKANT YADAV,Independent,672,2,674,0.35
161,161 - BANKA,9,MD ZAMIRUDDIN,Independent,816,26,842,0.44
161,161 - BANKA,10,JAWAHAR KUMAR JHA,Independent,4127,18,4145,2.15
161,161 - BANKA,11,DR FIROZ ANSARI,Independent,1590,1,1591,0.83
161,161 - BANKA,12,MANOJ SINGH,Independent,1103,0,1103,0.57
161,161 - BANKA,13,VIKRAM ANAND,Independent,2240,1,2241,1.16
161,161 - BANKA,14,SAJAN KUMAR,Independent,990,0,990,0.51
161,161 - BANKA,15,NOTA,None of the Above,1547,5,1552,0.8
