Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
162,162 - KATORIA,1,PURAN LAL TUDU,Bharatiya Janata Party,94070,190,94260,48.07
162,162 - KATORIA,2,SHIV LAL HANSDA,Rashtriya Lok Janshakti Party,2256,1,2257,1.15
162,162 - KATORIA,3,SWEETY SIMA HEMBROM,Rashtriya Janata Dal,82979,295,83274,42.46
162,162 - KATORIA,4,DHENA SOREN,Socialist Unity Centre Of India (COMMUNIST),1226,2,1228,0.63
162,162 - KATORIA,5,SALOMI MURMU,Jan Suraaj Party,2424,19,2443,1.25
162,162 - KATORIA,6,SUSHILLA HEMBROM,Janshakti Vikas Party (Democratic),795,2,797,0.41
162,162 - KATORIA,7,ADHIK LAL MARANDI,Independent,753,3,756,0.39
162,162 - KATORIA,8,BALIRAM MURMU,Independent,960,1,961,0.49
162,162 - KATORIA,9,REKHA SOREN,Independent,3648,4,3652,1.86
162,162 - KATORIA,10,SOBAN MURMOO,Independent,1289,1,1290,0.66
162,162 - KATORIA,11,NOTA,None of the Above,5183,4,5187,2.65
