Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
163,163 - BELHAR,1,CHANAKYA PRAKASH RANJAN,Rashtriya Janata Dal,78087,100,78187,34.33
163,163 - BELHAR,2,MANOJ YADAV,Janata Dal (United),115285,108,115393,50.66
163,163 - BELHAR,3,AJAY SHARMA,Jagrook Janta Party,1444,1,1445,0.63
163,163 - BELHAR,4,AMRIT TANTI,Bhartiya Dalit Party,514,0,514,0.23
163,163 - BELHAR,5,ASHOK MANDAL,Samata Party,424,1,425,0.19
163,163 - BELHAR,6,GIRDHARI PANDIT,Socialist Unity Centre Of India (COMMUNIST),540,2,542,0.24
163,163 - BELHAR,7,BRAJ KISHOR PANDIT,Jan Suraaj Party,7690,21,7711,3.39
163,163 - BELHAR,8,UMESH YADAV,Independent,1242,1,1243,0.55
163,163 - BELHAR,9,GIRDHARI KUMAR,Independent,534,0,534,0.23
163,163 - BELHAR,10,BALESHWAR YADAV,Independent,581,0,581,0.26
163,163 - BELHAR,11,MAMTA ROY,Independent,747,1,748,0.33
163,163 - BELHAR,12,MITHAN PRASAD YADAV,Independent,3037,1,3038,1.33
163,163 - BELHAR,13,MEHAKK ANJUM,Independent,1431,2,1433,0.63
163,163 - BELHAR,14,RAJESH KUMAR PASWAN,Independent,4450,1,4451,1.95
163,163 - BELHAR,15,LALAN PRASAD SINGH,Independent,6065,0,6065,2.66
163,163 - BELHAR,16,NOTA,None of the Above,5461,1,5462,2.4
