Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
164,164 - TARAPUR,1,ARUN KUMAR,Rashtriya Janata Dal,76379,258,76637,35.52
164,164 - TARAPUR,2,ASHISH ANAND,Bahujan Samaj Party,684,8,692,0.32
164,164 - TARAPUR,3,RAHUL KUMAR SINGH,Aam Aadmi Party,587,3,590,0.27
164,164 - TARAPUR,4,SAMRAT CHOUDHARY,Bharatiya Janata Party,122199,281,122480,56.77
164,164 - TARAPUR,5,BHARAT MANDAL,Socialist Unity Centre Of India (COMMUNIST),1142,1,1143,0.53
164,164 - TARAPUR,6,SANTOSH KUMAR SINGH,Jan Suraaj Party,3862,36,3898,1.81
164,164 - TARAPUR,7,SUKHDEV YADAV,Janshakti Janta Dal,385,2,387,0.18
164,164 - TARAPUR,8,DIPAK KUMAR,Independent,282,0,282,0.13
164,164 - TARAPUR,9,PRIYANKA CHAUHAN,Independent,367,2,369,0.17
164,164 - TARAPUR,10,BULBUL KUMARI,Independent,845,3,848,0.39
164,164 - TARAPUR,11,RAKESH KUMAR,Independent,2667,0,2667,1.24
164,164 - TARAPUR,12,SHAMBHU SHANKAR,Independent,1283,1,1284,0.6
164,164 - TARAPUR,13,SUDHIR SINGH,Independent,1574,0,1574,0.73
164,164 - TARAPUR,14,NOTA,None of the Above,2900,7,2907,1.35
