Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
165,165 - MUNGER,1,AVINASH KUMAR VIDYARTHI,Rashtriya Janata Dal,88899,379,89278,42.25
165,165 - MUNGER,2,KUMAR PRANAY,Bharatiya Janata Party,107723,305,108028,51.12
165,165 - MUNGER,3,RANVIR SAHANI,Bahujan Samaj Party,1032,7,1039,0.49
165,165 - MUNGER,4,MONAZIR HASSAN,All India Majlis-E-Ittehadul Muslimeen,3558,40,3598,1.7
165,165 - MUNGER,5,VIKASH KUMAR ARYA,Socialist Unity Centre Of India (COMMUNIST),398,2,400,0.19
165,165 - MUNGER,6,SANJAY KUMAR SINGH,Jan Suraaj Party,1766,43,1809,0.86
165,165 - MUNGER,7,KRISHNA MANDAL,Independent,273,2,275,0.13
165,165 - MUNGER,8,JAMUNA LAL SRIVASTAVA,Independent,322,1,323,0.15
165,165 - MUNGER,9,RAKESH KUMAR,Independent,529,1,530,0.25
165,165 - MUNGER,10,RAJA KESHRI,Independent,915,2,917,0.43
165,165 - MUNGER,11,SANTOSH KUMAR MANDAL,Independent,2034,1,2035,0.96
165,165 - MUNGER,12,NOTA,None of the Above,3069,6,3075,1.46
