Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
166,166 - JAMALPUR,1,KAPIL DEO DAS,Bahujan Samaj Party,1293,14,1307,0.65
166,166 - JAMALPUR,2,GOPAL KUMAR,Aam Aadmi Party,1413,12,1425,0.71
166,166 - JAMALPUR,3,NACHIKETA,Janata Dal (United),96387,296,96683,48
166,166 - JAMALPUR,4,NARENDRA KUMAR,Indian Inclusive Party,60260,195,60455,30.01
166,166 - JAMALPUR,5,MRITUNJOY KUMAR SINGH,Akhand Bharat Vikas Party,789,5,794,0.39
166,166 - JAMALPUR,6,LALAN JEE,Jan Suraaj Party,3807,56,3863,1.92
166,166 - JAMALPUR,7,ASHOK KUMAR,Independent,452,6,458,0.23
166,166 - JAMALPUR,8,JOONE KUMAR,Independent,471,1,472,0.23
166,166 - JAMALPUR,9,NIRMALJEET,Independent,552,2,554,0.28
166,166 - JAMALPUR,10,RAVI KUMAR,Independent,955,3,958,0.48
166,166 - JAMALPUR,11,RAJESH KUMAR JHA,Independent,1063,1,1064,0.53
166,166 - JAMALPUR,12,SHIV KUMAR PASWAN,Independent,842,3,845,0.42
166,166 - JAMALPUR,13,SHIVDEEP W LANDE,Independent,15538,117,15655,7.77
166,166 - JAMALPUR,14,SHAILESH KUMAR,Independent,14169,49,14218,7.06
166,166 - JAMALPUR,15,HARSH VARDHAN SINGH,Independent,893,1,894,0.44
166,166 - JAMALPUR,16,NOTA,None of the Above,1768,9,1777,0.88
