Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
168,168 - LAKHISARAI,1,AMARESH KUMAR,Indian National Congress,97110,358,97468,39.17
168,168 - LAKHISARAI,2,PRAVAL KUMAR,Bahujan Samaj Party,1592,1,1593,0.64
168,168 - LAKHISARAI,3,VIJAY KUMAR SINHA,Bharatiya Janata Party,122009,399,122408,49.2
168,168 - LAKHISARAI,4,UMA SHANKAR YADAV,Vishvas Yogya Party,1435,0,1435,0.58
168,168 - LAKHISARAI,5,KUSHO MAHTO,Bhartiya Lok Chetna Party,895,6,901,0.36
168,168 - LAKHISARAI,6,SURAJ KUMAR,Jan Suraaj Party,8665,57,8722,3.51
168,168 - LAKHISARAI,7,ABHISHEK KUMAR,Independent,713,0,713,0.29
168,168 - LAKHISARAI,8,AMRESH KUMAR,Independent,468,3,471,0.19
168,168 - LAKHISARAI,9,AMRESH PRASAD SINGH,Independent,594,0,594,0.24
168,168 - LAKHISARAI,10,RAMJEE MANDAL,Independent,769,2,771,0.31
168,168 - LAKHISARAI,11,VIKASH KUMAR JAGNANI,Independent,2030,0,2030,0.82
168,168 - LAKHISARAI,12,VIJAY KUMAR,Independent,4045,0,4045,1.63
168,168 - LAKHISARAI,13,SUBODH KUMAR SUMAN,Independent,1938,0,1938,0.78
168,168 - LAKHISARAI,14,NOTA,None of the Above,5724,7,5731,2.3
