Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
169,169 - SHEIKHPURA,1,UMESH PRASAD SINGH,Aam Aadmi Party,2829,5,2834,1.74
169,169 - SHEIKHPURA,2,RANDHIR KUMAR SONI,Janata Dal (United),82782,140,82922,50.77
169,169 - SHEIKHPURA,3,VIJAY KUMAR S/O GANGA KUMAR YADAV,Rashtriya Janata Dal,60191,184,60375,36.96
169,169 - SHEIKHPURA,4,DEVENDRA KUMAR,Bhartiya Lok Chetna Party,2042,6,2048,1.25
169,169 - SHEIKHPURA,5,RAJESH KUMAR,Jan Suraaj Party,4156,28,4184,2.56
169,169 - SHEIKHPURA,6,KUNDAN KUMAR,Independent,683,1,684,0.42
169,169 - SHEIKHPURA,7,VIJAY KUMAR S/O SADHUSHARAN PRASAD,Independent,3812,7,3819,2.34
169,169 - SHEIKHPURA,8,VIRENDRA PASWAN,Independent,1684,1,1685,1.03
169,169 - SHEIKHPURA,9,SUNIL KUMAR,Independent,2368,0,2368,1.45
169,169 - SHEIKHPURA,10,NOTA,None of the Above,2417,5,2422,1.48
