Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
170,170 - BARBIGHA,1,DR. KUMAR PUSPANJAY,Janata Dal (United),61696,186,61882,42.85
170,170 - BARBIGHA,2,TRISHULDHARI SINGH,Indian National Congress,36238,151,36389,25.2
170,170 - BARBIGHA,3,MURARI KUMAR,Bahujan Samaj Party,1312,1,1313,0.91
170,170 - BARBIGHA,4,PAWAN KUMAR,The Plurals Party,933,1,934,0.65
170,170 - BARBIGHA,5,MUKESH KUMAR SINGH,Jan Suraaj Party,4644,40,4684,3.24
170,170 - BARBIGHA,6,SIKANDAR CHAUDHARI,Right to Recall Party,785,0,785,0.54
170,170 - BARBIGHA,7,SANJAY KUMAR PRABHAT,Independent,1440,6,1446,1
170,170 - BARBIGHA,8,SATISH KUMAR,Independent,2368,5,2373,1.64
170,170 - BARBIGHA,9,SUDARSHAN KUMAR,Independent,28307,104,28411,19.67
170,170 - BARBIGHA,10,NOTA,None of the Above,6191,6,6197,4.29
