Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
172,172 - BIHARSHARIF,1,OMAIR KHAN,Indian National Congress,79767,369,80136,37.27
172,172 - BIHARSHARIF,2,MANOJ KUMAR,Aam Aadmi Party,848,2,850,0.4
172,172 - BIHARSHARIF,3,VALARAM DAS,Bahujan Samaj Party,1387,9,1396,0.65
172,172 - BIHARSHARIF,4,DR. SUNIL KUMAR,Bharatiya Janata Party,108731,573,109304,50.83
172,172 - BIHARSHARIF,5,DINESH KUMAR,Jan Suraaj Party,5973,71,6044,2.81
172,172 - BIHARSHARIF,6,SHIV KUMAR YADAV,Communist Party of India,2724,12,2736,1.27
172,172 - BIHARSHARIF,7,MANOJ KUMAR TANTI,Independent,6280,35,6315,2.94
172,172 - BIHARSHARIF,8,MOHIT KUMAR ALIAS KUNDAN KUMAR,Independent,3400,5,3405,1.58
172,172 - BIHARSHARIF,9,RAKESH PASWAN,Independent,547,5,552,0.26
172,172 - BIHARSHARIF,10,SARSWATI KUMARI,Independent,753,4,757,0.35
172,172 - BIHARSHARIF,11,NOTA,None of the Above,3514,10,3524,1.64
