Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
174,174 - ISLAMPUR,1,RAKESH KUMAR RAUSHAN,Rashtriya Janata Dal,67896,352,68248,36.37
174,174 - ISLAMPUR,2,RUHAIL RANJAN,Janata Dal (United),99918,569,100487,53.55
174,174 - ISLAMPUR,3,BIPIN MISTRI,Bahujan Samaj Party,2707,10,2717,1.45
174,174 - ISLAMPUR,4,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,437,1,438,0.23
174,174 - ISLAMPUR,5,TANUJA KUMARI,Jan Suraaj Party,4724,55,4779,2.55
174,174 - ISLAMPUR,6,DINKAR KUMAR,Rashtriya Samajwadi Lok Adhikar Party,157,1,158,0.08
174,174 - ISLAMPUR,7,VIKASH KUMAR GAURAB,Lohiya Janta Dal,197,0,197,0.1
174,174 - ISLAMPUR,8,SUGOULI PRASAD,Peoples Party of India (Democratic),286,1,287,0.15
174,174 - ISLAMPUR,9,AJAY KUMAR SINHA,Independent,299,1,300,0.16
174,174 - ISLAMPUR,10,MANOJ JAMADAR,Independent,555,2,557,0.3
174,174 - ISLAMPUR,11,MITU KUMARI,Independent,580,1,581,0.31
174,174 - ISLAMPUR,12,RANJEET KUMAR,Independent,967,0,967,0.52
174,174 - ISLAMPUR,13,SITARAM SINGH,Independent,3416,0,3416,1.82
174,174 - ISLAMPUR,14,NOTA,None of the Above,4526,6,4532,2.41
