Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
175,175 - HILSA,1,ATRI MUNI URF SHAKTI SINGH YADAV,Rashtriya Janata Dal,79702,295,79997,41.44
175,175 - HILSA,2,KUMAR NIRAJ,Rashtriya Lok Janshakti Party,1636,10,1646,0.85
175,175 - HILSA,3,KRISHNA MURARI SHARAN,Janata Dal (United),95521,488,96009,49.73
175,175 - HILSA,4,AMAR SINGH,The Plurals Party,1086,0,1086,0.56
175,175 - HILSA,5,UMESH KUMAR VERMA,Jan Suraaj Party,4194,58,4252,2.2
175,175 - HILSA,6,PREM KUMAR,Rashtriya Jansambhavna Party,415,6,421,0.22
175,175 - HILSA,7,VAVUCHAND CHAUDHARI,Indian National Socialistic Action Forces,662,1,663,0.34
175,175 - HILSA,8,SUDHIR KUMAR,Sanyukt Kisan Vikas Party,935,0,935,0.48
175,175 - HILSA,9,SHUKESH KUMAR,Independent,3336,1,3337,1.73
175,175 - HILSA,10,SACHIDANAND SINGH,Independent,858,1,859,0.44
175,175 - HILSA,11,NOTA,None of the Above,3849,4,3853,2
