Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
176,176 - NALANDA,1,KAUSHALENDRA KUMAR,Indian National Congress,72091,333,72424,36.25
176,176 - NALANDA,2,PRIYADARSHI ASHOK,Bahujan Samaj Party,2485,13,2498,1.25
176,176 - NALANDA,3,SHRAWON KUMAR,Janata Dal (United),104942,490,105432,52.77
176,176 - NALANDA,4,ABHI KUMAR,Vikas Vanchit Insan Party,1574,0,1574,0.79
176,176 - NALANDA,5,KUMARI POONAM SINHA,Jan Suraaj Party,5129,77,5206,2.61
176,176 - NALANDA,6,GAUTAM RAJVANSHI,Moolniwasi Samaj Party,915,1,916,0.46
176,176 - NALANDA,7,DILIP KUMAR,Peoples Party of India (Democratic),631,0,631,0.32
176,176 - NALANDA,8,DHARMENDRA PASWAN,Rashtriya Samajwadi Lok Adhikar Party,890,0,890,0.45
176,176 - NALANDA,9,BAIJNATH PRASAD,Bharatheeya Jawan Kisan Party,3579,2,3581,1.79
176,176 - NALANDA,10,RAUSHAN KUMAR,Aazad Samaj Party (Kanshi Ram),1803,5,1808,0.9
176,176 - NALANDA,11,NOTA,None of the Above,4825,4,4829,2.42
