Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
177,177 - HARNAUT,1,ARUN KUMAR,Indian National Congress,58393,226,58619,30.5
177,177 - HARNAUT,2,DHARMENDRA KUMAR,Aam Aadmi Party,2384,3,2387,1.24
177,177 - HARNAUT,3,HARI NARAYAN SINGH,Janata Dal (United),106471,483,106954,55.66
177,177 - HARNAUT,4,INDRASEN PRIYADARSHI,Rashtriya Sanatan Party,1835,5,1840,0.96
177,177 - HARNAUT,5,KANHAIYA LAL YADAV,Bhartiya Party (Loktantrik),1780,2,1782,0.93
177,177 - HARNAUT,6,KAMLESH PASWAN,Jan Suraaj Party,7845,82,7927,4.13
177,177 - HARNAUT,7,DHANANJAY KUMAR,Vikas Vanchit Insan Party,1304,0,1304,0.68
177,177 - HARNAUT,8,PREM RANJAN KUMAR,Jantantrik Lokhit Party,886,3,889,0.46
177,177 - HARNAUT,9,ANIRUDH KUMAR,Independent,1126,2,1128,0.59
177,177 - HARNAUT,10,PINTU PASWAN,Independent,2785,0,2785,1.45
177,177 - HARNAUT,11,VINAY BHUSHAN KUMAR,Independent,1166,1,1167,0.61
177,177 - HARNAUT,12,NOTA,None of the Above,5367,13,5380,2.8
