Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
179,179 - BARH,1,KARNVEER SINGH YADAV,Rashtriya Janata Dal,74494,139,74633,39.41
179,179 - BARH,2,MADHUKAR JAY VIJAY,Aam Aadmi Party,1350,3,1353,0.71
179,179 - BARH,3,SIYARAM SINGH,Bharatiya Janata Party,99172,274,99446,52.51
179,179 - BARH,4,AMITABH BACHCHAN,Rashtriya Sanatan Party,1340,0,1340,0.71
179,179 - BARH,5,NIRANJAN PRASAD,Panchpauniya Samaj Party,637,2,639,0.34
179,179 - BARH,6,MAHESH PRASAD SINGH,Jan Suraaj Party,3448,25,3473,1.83
179,179 - BARH,7,SHATRUDHAN VARMA,Peoples Party of India (Democratic),403,1,404,0.21
179,179 - BARH,8,ARBIND KUMAR,Independent,284,1,285,0.15
179,179 - BARH,9,RAVI RANJAN KUMAR,Independent,376,1,377,0.2
179,179 - BARH,10,RAVIKANT PRASAD YADAV,Independent,801,1,802,0.42
179,179 - BARH,11,SHARVAN PANDEY,Independent,2246,1,2247,1.19
179,179 - BARH,12,SURAJ KUMAR,Independent,760,0,760,0.4
179,179 - BARH,13,NOTA,None of the Above,3627,4,3631,1.92
