Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
180,180 - BAKHTIARPUR,1,ANIRUDDH KUMAR,Rashtriya Janata Dal,87373,166,87539,44.64
180,180 - BAKHTIARPUR,2,ARUN KUMAR S/O SATRUGHAN SAO,Lok Janshakti Party (Ram Vilas),88329,191,88520,45.14
180,180 - BAKHTIARPUR,3,ARUN THAKUR,Aam Aadmi Party,1549,4,1553,0.79
180,180 - BAKHTIARPUR,4,DEEPAK BHAI PATEL,Bahujan Samaj Party,2914,9,2923,1.49
180,180 - BAKHTIARPUR,5,GULSHAN KUMAR YADAV,Janshakti Janta Dal,790,1,791,0.4
180,180 - BAKHTIARPUR,6,BALMIKI SINGH,Jan Suraaj Party,6541,40,6581,3.36
180,180 - BAKHTIARPUR,7,ARUN KUMAR S/O NAGENDRA PRASAD SINGH,Independent,651,2,653,0.33
180,180 - BAKHTIARPUR,8,RAM RATAN PRASAD SINGH,Independent,1029,0,1029,0.52
180,180 - BAKHTIARPUR,9,SHAMBHU SINGH,Independent,2876,0,2876,1.47
180,180 - BAKHTIARPUR,10,NOTA,None of the Above,3631,4,3635,1.85
