Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
181,181 - DIGHA,1,DIVYA GAUTAM,Communist Party of India (Marxist-Leninist) (Liberation),51846,76,51922,26.47
181,181 - DIGHA,2,PRABHAKAR KR. SINGH,Bahujan Samaj Party,1925,5,1930,0.98
181,181 - DIGHA,3,SANJIV CHAURASIA,Bharatiya Janata Party,110743,258,111001,56.59
181,181 - DIGHA,4,INDU DEVI,Bharatiya Momin Front,1726,6,1732,0.88
181,181 - DIGHA,5,RICHA SINHA,Vocal India Party,685,0,685,0.35
181,181 - DIGHA,6,PRANJAL SINGH,The Plurals Party,465,1,466,0.24
181,181 - DIGHA,7,RAJIV KUMAR SINGH,Right to Recall Party,610,4,614,0.31
181,181 - DIGHA,8,Ritesh Ranjan Singh Alias Bittu Singh,Jan Suraaj Party,21993,78,22071,11.25
181,181 - DIGHA,9,SADHANA KUMARI,Jagrook Janta Party,635,1,636,0.32
181,181 - DIGHA,10,KUSUMLATA VERMA,Independent,1377,5,1382,0.7
181,181 - DIGHA,11,SHWET RANJAN,Independent,600,1,601,0.31
181,181 - DIGHA,12,NOTA,None of the Above,3091,11,3102,1.58
