Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
182,182 - BANKIPUR,1,NITIN NABIN,Bharatiya Janata Party,98151,148,98299,62.66
182,182 - BANKIPUR,2,PANKAJ KUMAR,Aam Aadmi Party,788,2,790,0.5
182,182 - BANKIPUR,3,REKHA KUMARI,Rashtriya Janata Dal,46308,55,46363,29.55
182,182 - BANKIPUR,4,NIRANJAN KUMAR ACHARY,Right to Recall Party,361,0,361,0.23
182,182 - BANKIPUR,5,PRABHASH CHANDRA SHARMA,Jagrook Janta Party,275,1,276,0.18
182,182 - BANKIPUR,6,VANDANA KUMARI,Jan Suraaj Party,7690,27,7717,4.92
182,182 - BANKIPUR,7,AKHILESH KUMAR,Independent,403,0,403,0.26
182,182 - BANKIPUR,8,RAVI KUMAR,Independent,666,0,666,0.42
182,182 - BANKIPUR,9,S. SAJJAD HUSSAIN AKHTER,Independent,545,1,546,0.35
182,182 - BANKIPUR,10,NOTA,None of the Above,1460,4,1464,0.93
